Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS,Nominal
41.0,0.9979166666666668,1.0,76.0,77.0,28.28190476190476,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,6.1985577619047625,0.0012894916241508,0.0719035849372309,P
41.0,0.4979166666666667,1.0,76.0,77.0,28.28190476190476,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.1985577619047625,0.0006433997874155,0.0780513640014661,P
41.5,0.4979166666666667,1.0,76.0,72.0,28.490884353741496,0.1849856386999229,4/4,4,4,1,G,major,161.4990234375013,6.199203853741498,-0.022479805050077,0.0636607182937464,P
42.0,0.9979166666666668,1.0,75.0,66.0,28.676643990929705,0.37074527588813,4/4,4,4,1,G,major,161.4990234375013,6.176629990929705,-0.0450536678618699,0.0694795084709841,P
42.0,0.4979166666666667,1.0,75.0,66.0,28.676643990929705,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.176629990929705,0.0006433997874155,0.071621973736823,P
42.5,0.4979166666666667,1.0,76.0,61.0,28.88562358276644,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.17727608276644,0.0006433997874155,0.0656883394918352,P
43.0,0.9979166666666668,1.0,76.0,55.0,29.094603174603176,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,6.177922174603175,0.0012894916241508,0.0664272458757436,P
43.0,0.4979166666666667,1.0,76.0,55.0,29.094603174603176,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.177922174603175,0.0006433997874155,0.0751139866553131,P
43.5,0.4979166666666667,1.0,76.0,49.0,29.30358276643991,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,6.17856826643991,0.0006433997874119,0.0564412849649966,P
44.0,3.997916666666667,1.0,52.0,49.0,29.512562358276643,5.105729402872255,4/4,4,4,1,G,major,46.98153409090914,6.179214358276642,3.4399294591222547,0.1115617873285715,F
45.0,0.9979166666666668,1.0,79.0,49.0,30.789659863945577,1.2744368858654558,4/4,4,4,1,G,major,46.98153409090915,7.039644863945576,0.8586379421154557,0.1059213167563085,F
45.0,0.9979166666666668,1.0,64.0,49.0,30.789659863945577,1.2744368858654558,4/4,4,4,1,G,major,46.98153409090915,7.039644863945576,0.8586379421154557,0.1059213167563085,F
45.0,0.9979166666666668,1.0,67.0,49.0,30.789659863945577,1.2744368858654558,4/4,4,4,1,G,major,46.98153409090915,7.039644863945576,0.8586379421154557,0.1059213167563085,F
45.0,0.9979166666666668,1.0,72.0,49.0,30.789659863945577,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,7.039644863945576,0.0012894916241508,0.0831371291459035,P
46.0,0.9979166666666668,1.0,76.0,49.0,31.207619047619048,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,7.040937047619046,0.0012894916241508,0.1159401411377798,F
46.0,0.9979166666666668,1.0,64.0,49.0,31.207619047619048,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,7.040937047619046,0.0012894916241508,0.1159401411377798,F
