Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
31.0,0.4979166666666667,1.0,71.0,88.0,21.43201814058957,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.5153411405895696,0.0006433997874119857,0.09301289818065267
31.5,0.4979166666666667,1.0,71.0,88.0,21.640997732426303,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,3.5159872324263013,0.0006433997874155384,0.08943351058495633
32.0,3.997916666666667,1.0,52.0,88.0,21.849977324263037,1.1139773242630702,4/4,4,4,1,G,major,215.3320312499939,3.5166333242630365,-0.55182261948693,0.0959430898500483
32.5,0.4979166666666667,1.0,71.0,88.0,21.989297052154196,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.4476195521541975,0.0006433997874119857,0.07244507295163174
33.0,0.9979166666666667,1.0,74.0,88.0,22.19827664399093,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,3.448265643990929,0.0012894916241437127,0.10262416903884324
33.0,0.4979166666666667,1.0,74.0,88.0,22.19827664399093,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.448265643990929,0.0006433997874119857,0.09617659166133778
33.5,0.4979166666666667,1.0,71.0,88.0,22.407256235827663,0.20810884353742262,4/4,4,4,1,G,major,143.5546874999947,3.448911735827661,0.000643399787422616,0.10881595357382885
34.0,0.9979166666666667,1.0,73.0,88.0,22.6162358276644,0.417088435374165,4/4,4,4,1,G,major,143.5546874999947,3.449557827664403,0.001289491624165029,0.11544001502358457
34.0,0.4979166666666667,1.0,73.0,88.0,22.6162358276644,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.449557827664403,0.0006433997874119857,0.10976640821076807
34.5,0.4979166666666667,1.0,71.0,88.0,22.825215419501134,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.450203919501135,0.0006433997874119857,0.12097073423390162
35.0,0.9979166666666667,1.0,72.0,88.0,23.034195011337868,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,3.4508500113378666,0.0012894916241437127,0.10941613048697452
35.0,0.4979166666666667,1.0,72.0,88.0,23.034195011337868,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,3.4508500113378666,0.0006433997874155384,0.11823392896714095
35.5,0.4979166666666667,1.0,71.0,88.0,23.2431746031746,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,3.451496103174602,0.0006433997874190911,0.0991508345634208
36.0,3.997916666666667,1.0,57.0,88.0,23.45215419501134,1.670965986394534,4/4,4,4,1,G,major,143.55468750000205,3.4521421950113407,0.005166042644533908,0.09666201333076746
36.5,0.4979166666666667,1.0,76.0,88.0,23.661133786848072,0.1618624338624339,4/4,4,4,1,G,major,184.57031249999994,3.4527882868480724,-0.045603009887566104,0.11258358830780914
37.0,0.9979166666666667,1.0,72.0,88.0,23.823673469387757,0.32440211640211647,4/4,4,4,1,G,major,184.57031249999997,3.4069944693877545,-0.09139682734788351,0.10585394681277574
37.0,0.4979166666666667,1.0,72.0,88.0,23.823673469387757,0.13873922902494368,4/4,4,4,1,G,major,215.33203124999943,3.4069944693877545,-0.06872621472505633,0.10969802386201373
37.5,0.4979166666666667,1.0,76.0,88.0,23.962993197278912,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,3.337980697278912,0.0006433997874155384,0.10393251786650484
38.0,0.9979166666666667,1.0,71.0,88.0,24.171972789115646,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,3.338626789115647,0.001289491624150818,0.09793941529153488
38.0,0.4979166666666667,1.0,71.0,88.0,24.171972789115646,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.338626789115647,0.0006433997874119857,0.09298526041967356
38.5,0.4979166666666667,1.0,76.0,88.0,24.38095238095238,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,3.339272880952379,0.0006433997874190911,0.10278797640643783
39.0,0.9979166666666667,1.0,72.0,88.0,24.589931972789117,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972,3.3399189727891176,0.0012894916241579235,0.08577928206537025
39.0,0.4979166666666667,1.0,72.0,88.0,24.589931972789117,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.3399189727891176,0.0006433997874119857,0.0916387423469352
39.5,0.4979166666666667,1.0,76.0,88.0,24.79891156462585,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,3.3405650646258493,0.0006433997874155384,0.07961750197236914
40.0,3.997916666666667,1.0,57.0,88.0,25.007891156462584,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,3.3412111564625846,0.00516604264456233,0.07032705836074453
40.5,0.4979166666666667,1.0,76.0,83.0,25.21687074829932,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,3.34185724829932,0.0006433997874155384,0.05766753358003657
41.0,0.9979166666666667,1.0,76.0,77.0,25.425850340136055,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,3.342503340136055,0.001289491624150818,0.08848818386939791
