Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
41.0,0.4979166666666667,1.0,76.0,77.0,23.521814058956917,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.4384670589569168,0.0006433997874155384,0.055224702376008884
41.5,0.4979166666666667,1.0,76.0,72.0,23.73079365079365,0.18498563869992293,4/4,4,4,1,G,major,161.4990234375013,1.439113150793652,-0.022479805050077073,0.05287110606907133
42.0,0.9979166666666667,1.0,75.0,66.0,23.91655328798186,0.37074527588813005,4/4,4,4,1,G,major,161.4990234375013,1.416539287981859,-0.04505366786186993,0.039953744724314635
42.0,0.4979166666666667,1.0,75.0,66.0,23.91655328798186,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.416539287981859,0.0006433997874155384,0.045474110053830334
42.5,0.4979166666666667,1.0,76.0,61.0,24.125532879818593,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.4171853798185943,0.0006433997874155384,0.03091515615225738
43.0,0.9979166666666667,1.0,76.0,55.0,24.33451247165533,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.4178314716553295,0.001289491624150818,0.02451443457168587
43.0,0.4979166666666667,1.0,76.0,55.0,24.33451247165533,0.13873922902494368,4/4,4,4,1,G,major,215.33203124999943,1.4178314716553295,-0.06872621472505633,0.02734665295647367
43.5,0.4979166666666667,1.0,76.0,49.0,24.473832199546486,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,1.348817699546487,0.0006433997874119857,0.02104766163609337
44.0,3.997916666666667,1.0,52.0,49.0,24.68281179138322,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,1.3494637913832186,0.00516604264456233,0.04047513459089331
45.0,0.9979166666666667,1.0,79.0,49.0,25.10077097505669,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.350755975056689,0.001289491624150818,0.03896764462447915
45.0,0.9979166666666667,1.0,64.0,49.0,25.10077097505669,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.350755975056689,0.001289491624150818,0.03896764462447915
45.0,0.9979166666666667,1.0,67.0,49.0,25.10077097505669,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.350755975056689,0.001289491624150818,0.03896764462447915
45.0,0.9979166666666667,1.0,72.0,49.0,25.10077097505669,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.350755975056689,0.0012894916241472099,0.03896764462447915
46.0,0.9979166666666667,1.0,76.0,49.0,25.518730158730158,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.352048158730156,0.0012894916241472099,0.05506641247810555
46.0,0.9979166666666667,1.0,64.0,49.0,25.518730158730158,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.352048158730156,0.0012894916241472099,0.05506641247810555
46.0,0.9979166666666667,1.0,67.0,49.0,25.518730158730158,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.352048158730156,0.0012894916241472099,0.05506641247810555
46.0,0.9979166666666667,1.0,72.0,49.0,25.518730158730158,0.27805895691610405,4/4,4,4,1,G,major,215.3320312499967,1.352048158730156,-0.13773998683389593,0.05837794923956606
47.0,0.9979166666666667,1.0,79.0,49.0,25.797369614512473,0.27805895691610405,4/4,4,4,1,G,major,215.3320312499967,1.2140206145124743,-0.13773998683389593,0.04477403548961778
47.0,0.9979166666666667,1.0,64.0,49.0,25.797369614512473,0.27805895691610405,4/4,4,4,1,G,major,215.3320312499967,1.2140206145124743,-0.13773998683389593,0.04477403548961778
47.0,0.9979166666666667,1.0,67.0,49.0,25.797369614512473,0.27805895691610405,4/4,4,4,1,G,major,215.3320312499967,1.2140206145124743,-0.13773998683389593,0.04477403548961778
47.0,0.9979166666666667,1.0,72.0,49.0,25.797369614512473,0.32440211640211564,4/4,4,4,1,G,major,184.57031250000043,1.2140206145124743,-0.09139682734788435,0.043780209231635385
48.0,3.997916666666667,1.0,52.0,49.0,26.122448979591837,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085,1.1224329795918386,0.005166042644547897,0.037270423293095045
49.0,0.9979166666666667,1.0,81.0,49.0,26.540408163265305,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.1237251632653056,0.0012894916241472099,0.0411945231125576
49.0,0.9979166666666667,1.0,66.0,49.0,26.540408163265305,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.1237251632653056,0.0012894916241472099,0.0411945231125576
49.0,0.9979166666666667,1.0,67.0,49.0,26.540408163265305,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.1237251632653056,0.0012894916241472099,0.0411945231125576
49.0,0.9979166666666667,1.0,74.0,49.0,26.540408163265305,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.1237251632653056,0.001289491624150818,0.0411945231125576
